features,run_id,MAE,DenormMAE,MSE,DenormMSE,RMSE,DenormRMSE
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture,4,0.014947,2.377458,0.002013,51.69703,0.01937,3.078742
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture_studyarea,0,0.015686,2.479283,0.002151,54.45239,0.019912,3.146684
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture_studyarea,1,0.016837,2.670778,0.002297,58.79912,0.021368,3.388128
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture_studyarea,2,0.017049,2.702854,0.002325,59.49365,0.021844,3.462056
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture_studyarea,3,0.015271,2.424848,0.002062,52.71934,0.01964,3.117808
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture_studyarea,4,0.016391,2.599868,0.002285,58.583588,0.020802,3.298578
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_studyarea,0,0.017165,2.721098,0.002419,61.93589,0.021684,3.43633
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_studyarea,1,0.015414,2.44721,0.002065,52.78677,0.019808,3.14288
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_studyarea,2,0.015821,2.513383,0.002225,57.2689,0.020193,3.206698
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_studyarea,3,0.017369,2.753178,0.002533,64.8851,0.022164,3.511541
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_studyarea,4,0.01696,2.691428,0.002414,61.95582,0.021623,3.429351
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_studyarea,0,0.017189,2.731391,0.00251,64.620605,0.021855,3.470444
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_studyarea,1,0.016283,2.583322,0.002292,58.619164,0.020941,3.3222
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_studyarea,2,0.017831,2.83073,0.00258,66.297966,0.022736,3.608587
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_studyarea,3,0.01691,2.685768,0.002529,65.18497,0.021533,3.419454
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_studyarea,4,0.016202,2.568242,0.002204,56.245853,0.02097,3.32386
occrate_avgocc_coursenumber_dow_hod_type,0,0.015851,2.515586,0.002285,58.511436,0.020417,3.240599
occrate_avgocc_coursenumber_dow_hod_type,1,0.01619,2.569528,0.002214,56.607883,0.020811,3.302484
occrate_avgocc_coursenumber_dow_hod_type,2,0.016524,2.620094,0.002138,54.477676,0.021194,3.361459
occrate_avgocc_coursenumber_dow_hod_type,3,0.015007,2.384277,0.001968,50.480106,0.019627,3.118368
occrate_avgocc_coursenumber_dow_hod_type,4,0.01629,2.586077,0.002157,55.216255,0.020944,3.324387
occrate_avgocc_coursenumber_dow_hod_type_lecture,0,0.015541,2.46307,0.001979,50.47888,0.020151,3.195367
occrate_avgocc_coursenumber_dow_hod_type_lecture,1,0.015671,2.489656,0.002126,54.479065,0.020234,3.214438
occrate_avgocc_coursenumber_dow_hod_type_lecture,2,0.016996,2.693551,0.002234,56.885193,0.021748,3.447616
occrate_avgocc_coursenumber_dow_hod_type_lecture,3,0.01666,2.645544,0.002261,57.997826,0.021327,3.385766
occrate_avgocc_coursenumber_dow_hod_type_lecture,4,0.01628,2.58124,0.002201,56.050755,0.020844,3.30529
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,0,0.015817,2.505145,0.002172,55.123802,0.020296,3.214599
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,1,0.016048,2.548468,0.002429,62.25364,0.020444,3.244616
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,2,0.016848,2.666562,0.002336,59.213715,0.021533,3.406497
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,3,0.015672,2.483227,0.002054,52.20332,0.019834,3.140756
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,4,0.015807,2.51143,0.002193,56.16822,0.020462,3.248769
occrate_avgocc_coursenumber_dow_hod_type_registered,0,0.01591,2.531012,0.002142,55.044693,0.020464,3.254957
occrate_avgocc_coursenumber_dow_hod_type_registered,1,0.016215,2.576052,0.002135,54.652473,0.020817,3.307153
occrate_avgocc_coursenumber_dow_hod_type_registered,2,0.016568,2.628716,0.002157,55.055813,0.021156,3.356022
occrate_avgocc_coursenumber_dow_hod_type_registered,3,0.015418,2.449712,0.001998,51.171223,0.01967,3.124272
occrate_avgocc_coursenumber_dow_hod_type_registered,4,0.01616,2.56957,0.002183,56.02058,0.020708,3.29087
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,0,0.016102,2.552256,0.002138,54.467796,0.020649,3.273013
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,1,0.015788,2.504304,0.002099,53.67549,0.020112,3.19009
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,2,0.015575,2.469202,0.002074,52.91043,0.020094,3.186125
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,3,0.015749,2.497635,0.002028,51.80052,0.020116,3.1906
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,4,0.016353,2.598143,0.002232,57.31625,0.020958,3.329164
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,0,0.016766,2.651676,0.002351,59.371693,0.021211,3.35402
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,1,0.015262,2.41786,0.001959,49.765636,0.019655,3.112975
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,2,0.015736,2.49287,0.00203,51.520832,0.020084,3.181571
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,3,0.01646,2.608035,0.002243,57.124714,0.020787,3.292807
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,4,0.015654,2.477135,0.002163,54.83184,0.020373,3.224256
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,0,0.015928,2.523673,0.002108,53.449993,0.020004,3.167323
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,1,0.015519,2.462004,0.002147,54.89214,0.019965,3.166478
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,2,0.01568,2.483809,0.002071,52.47845,0.020071,3.17892
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,3,0.017198,2.729381,0.002437,62.524162,0.021943,3.480358
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,4,0.015534,2.461009,0.002238,57.145195,0.020063,3.178165
occrate_avgocc_coursenumber_dow_hod_type_studyarea,0,0.016746,2.652434,0.00246,62.567707,0.021385,3.386989
occrate_avgocc_coursenumber_dow_hod_type_studyarea,1,0.016216,2.569874,0.002187,55.613533,0.020688,3.279334
occrate_avgocc_coursenumber_dow_hod_type_studyarea,2,0.016169,2.56269,0.002314,58.876476,0.020826,3.300614
occrate_avgocc_coursenumber_dow_hod_type_studyarea,3,0.015979,2.530742,0.002142,54.508556,0.020293,3.215048
occrate_avgocc_coursenumber_dow_hod_type_studyarea,4,0.016404,2.595073,0.002313,58.518204,0.020689,3.272761
occrate_avgocc_coursenumber_dow_lecture,0,0.016311,2.590433,0.002185,55.848858,0.020851,3.310904
occrate_avgocc_coursenumber_dow_lecture,1,0.016318,2.589655,0.00241,61.671883,0.021083,3.347356
occrate_avgocc_coursenumber_dow_lecture,2,0.01586,2.514147,0.002179,55.43394,0.020667,3.277644
occrate_avgocc_coursenumber_dow_lecture,3,0.016504,2.615998,0.002316,59.01749,0.02143,3.39881
occrate_avgocc_coursenumber_dow_lecture,4,0.01535,2.433908,0.002109,53.855896,0.019851,3.149533
occrate_avgocc_coursenumber_dow_lecture_studyarea,0,0.016328,2.594076,0.002156,55.135647,0.02069,3.285327
occrate_avgocc_coursenumber_dow_lecture_studyarea,1,0.016883,2.682714,0.002449,62.782516,0.021435,3.40319
occrate_avgocc_coursenumber_dow_lecture_studyarea,2,0.016697,2.644946,0.002208,56.162823,0.021697,3.43773
occrate_avgocc_coursenumber_dow_lecture_studyarea,3,0.016361,2.593694,0.002339,59.57494,0.021022,3.332217
occrate_avgocc_coursenumber_dow_lecture_studyarea,4,0.016138,2.55867,0.002137,54.304085,0.020642,3.271347
occrate_avgocc_coursenumber_dow_registered,0,0.016586,2.636359,0.002368,60.830032,0.021261,3.380038
occrate_avgocc_coursenumber_dow_registered,1,0.016766,2.664177,0.002417,61.99255,0.021514,3.418332
occrate_avgocc_coursenumber_dow_registered,2,0.016565,2.63346,0.002312,59.312225,0.021319,3.388401
occrate_avgocc_coursenumber_dow_registered,3,0.016214,2.574812,0.002128,54.57188,0.020668,3.281802
occrate_avgocc_coursenumber_dow_registered,4,0.016159,2.567402,0.002279,58.4952,0.020849,3.313237
occrate_avgocc_coursenumber_dow_registered_lecture,0,0.01537,2.441662,0.002116,54.301937,0.019845,3.153084
occrate_avgocc_coursenumber_dow_registered_lecture,1,0.015634,2.483902,0.002271,58.31765,0.020436,3.247522
occrate_avgocc_coursenumber_dow_registered_lecture,2,0.016486,2.61464,0.00227,57.906193,0.021312,3.381654
occrate_avgocc_coursenumber_dow_registered_lecture,3,0.016187,2.568625,0.002293,58.69529,0.021072,3.344952
occrate_avgocc_coursenumber_dow_registered_lecture,4,0.015653,2.484382,0.00214,54.708664,0.020241,3.213034
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,0,0.016498,2.615974,0.002282,58.172897,0.020991,3.327603
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,1,0.016322,2.592149,0.002236,57.277416,0.020832,3.308272
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,2,0.016371,2.59899,0.002281,58.348076,0.020738,3.291346
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,3,0.017619,2.797273,0.002562,65.83528,0.022184,3.520883
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,4,0.016421,2.608342,0.002303,58.905334,0.020862,3.311944
occrate_avgocc_coursenumber_dow_registered_studyarea,0,0.01681,2.66962,0.002459,63.106003,0.021471,3.408482
occrate_avgocc_coursenumber_dow_registered_studyarea,1,0.016608,2.635171,0.002549,65.32312,0.021183,3.360703
occrate_avgocc_coursenumber_dow_registered_studyarea,2,0.017334,2.753246,0.002554,65.79739,0.021739,3.451385
occrate_avgocc_coursenumber_dow_registered_studyarea,3,0.016389,2.603978,0.002313,59.33109,0.020797,3.30293
occrate_avgocc_coursenumber_dow_registered_studyarea,4,0.017327,2.751688,0.002554,65.242874,0.021937,3.481168
