datetime,occcount,occrate,occcountdiff,occratediff,exam,test,tutorium,maxocccount,maxoccrate,lecturerampafterregistered,coursenumber,lecture,lecturerampbefore,VL,UE,KS,hod1,hod2,dow1,dow2,week1,week2,holiday,zwickltag,occcount1week,occrate1week,occrate1day,occcount1day,occcountdiff1week,occcountdiff1day,occratediff1week,occratediff1day
2024-04-08 16:45:00,1.0,0.006097560975609756,0.0,0.0,0,0,0,33,0.20121951219512196,0,238.213,1,0,0,0,1,-0.9469301294951056,-0.3214394653031618,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 17:00:00,3.0,0.018292682926829267,2.0,0.012195121951219511,0,0,0,6,0.036585365853658534,0,238.213,1,0,0,0,1,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 17:15:00,6.0,0.036585365853658534,3.0,0.018292682926829267,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-0.9807852804032303,-0.19509032201612866,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 17:30:00,6.0,0.036585365853658534,0.0,0.0,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-0.9914448613738104,-0.13052619222005163,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 17:45:00,6.0,0.036585365853658534,0.0,0.0,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-0.9978589232386035,-0.06540312923014273,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 18:00:00,6.0,0.036585365853658534,0.0,0.0,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 18:15:00,6.0,0.036585365853658534,0.0,0.0,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-0.9978589232386036,0.06540312923014237,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 18:30:00,1.0,0.006097560975609756,-5.0,-0.03048780487804878,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-0.9914448613738105,0.13052619222005127,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 18:45:00,1.0,0.006097560975609756,0.0,0.0,0,0,1,6,0.036585365853658534,0,360.001,1,0,1,0,0,-0.9807852804032304,0.1950903220161283,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 19:00:00,1.0,0.006097560975609756,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
