features,run_id,test_loss,val_loss
occrate_avgocc_coursenumber_dow_type_lecture,4,0.016789,0.008773
occrate_avgocc_coursenumber_dow_type_lecture_studyarea,0,0.01727,0.009348
occrate_avgocc_coursenumber_dow_type_lecture_studyarea,1,0.01655,0.008867
occrate_avgocc_coursenumber_dow_type_lecture_studyarea,2,0.017461,0.008721
occrate_avgocc_coursenumber_dow_type_lecture_studyarea,3,0.016343,0.008936
occrate_avgocc_coursenumber_dow_type_lecture_studyarea,4,0.016523,0.008727
occrate_avgocc_coursenumber_dow_type_registered,0,0.015593,0.008471
occrate_avgocc_coursenumber_dow_type_registered,1,0.015654,0.008361
occrate_avgocc_coursenumber_dow_type_registered,2,0.016439,0.008551
occrate_avgocc_coursenumber_dow_type_registered,3,0.016329,0.008485
occrate_avgocc_coursenumber_dow_type_registered,4,0.015342,0.008316
occrate_avgocc_coursenumber_dow_type_registered_lecture,0,0.016913,0.00855
occrate_avgocc_coursenumber_dow_type_registered_lecture,1,0.015968,0.00832
occrate_avgocc_coursenumber_dow_type_registered_lecture,2,0.015822,0.00844
occrate_avgocc_coursenumber_dow_type_registered_lecture,3,0.015964,0.008694
